product_id,category,created_at,description,image_url,is_active,name,price,sku,stock_quantity,store_location,updated_at
1,Electronics,2026-01-05 09:30:00,"Experience the dynamic island and 48MP main camera. Super Retina XDR display.",https://images.pexels.com/photos/788946/pexels-photo-788946.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Apple iPhone 15 (128 GB) - Black",72999,PROD-001,45,T.Nagar,2026-01-28 10:15:00
2,Electronics,2026-01-05 10:15:00,"Titanium frame with Galaxy AI and 200MP camera system.",https://images.pexels.com/photos/404280/pexels-photo-404280.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Samsung Galaxy S24 Ultra 5G AI",129999,PROD-002,32,Adyar,2026-01-29 11:20:00
3,Electronics,2026-01-06 08:45:00,"InfinityEdge display and 12th Gen Intel Evo platform for premium performance.",https://images.pexels.com/photos/18105/pexels-photo.jpg?auto=compress&cs=tinysrgb&w=600,1,"Dell XPS 13 Laptop Core i7",115000,PROD-003,25,Velachery,2026-01-29 14:00:00
4,Electronics,2026-01-06 11:00:00,"Industry leading noise cancellation with auto NC optimizer.",https://images.pexels.com/photos/1649771/pexels-photo-1649771.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Sony WH-1000XM5 Noise Cancelling Headphones",26990,PROD-004,58,Navalur,2026-01-30 09:10:00
5,Electronics,2026-01-07 14:20:00,"42H Playtime with Beast Mode and ENx Tech.",https://images.pexels.com/photos/3780681/pexels-photo-3780681.jpeg?auto=compress&cs=tinysrgb&w=600,1,"boAt Airdopes 141 Bluetooth Earbuds",1299,PROD-005,120,Anna Nagar,2026-01-30 16:45:00
6,Electronics,2026-01-07 15:00:00,"Supercharged by M2 chip with 13.6-inch Liquid Retina display.",https://images.pexels.com/photos/303383/pexels-photo-303383.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Apple MacBook Air M2",99900,PROD-006,18,T.Nagar,2026-01-30 10:00:00
7,Electronics,2026-01-08 09:15:00,"AMD Ryzen 5 with NVIDIA GeForce GTX 1650 graphics.",https://images.pexels.com/photos/19012051/pexels-photo-19012051/free-photo-of-gaming-laptop-on-desk.jpeg?auto=compress&cs=tinysrgb&w=600,1,"HP Pavilion 15 Gaming Laptop",68500,PROD-007,22,Velachery,2026-01-31 11:30:00
8,Electronics,2026-01-08 13:40:00,"Performance wireless mouse with 8K DPI tracking.",https://images.pexels.com/photos/2115257/pexels-photo-2115257.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Logitech MX Master 3S Mouse",9995,PROD-008,40,Adyar,2026-01-31 15:20:00
9,Electronics,2026-01-09 10:30:00,"Ultra HD Smart LED TV with HDR 10+ support.",https://images.pexels.com/photos/1040160/pexels-photo-1040160.jpeg?auto=compress&cs=tinysrgb&w=600,1,"Samsung 55-inch Crystal 4K UHD TV",46990,PROD-009,15,Navalur,2026-02-01 08:00:00
10,Electronics,2026-01-09 16:10:00,"HDR video and 27MP photos with HyperSmooth 6.0 stabilization.",https://images.pexels.com/photos/3094799/pexels-photo-3094799.jpeg?auto=compress&cs=tinysrgb&w=600,1,"GoPro HERO12 Black Action Camera",39990,PROD-010,30,Anna Nagar,2026-01-25 12:00:00
